frame_num,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
123,6.0,[868.0027007050555 1558.485178561505 1646.1885658873628 2147.2429130516043],[1126.1781005859375 1939.98828125 1332.188720703125 2027.4185791015625],0.48774072527885437,GX15OGJ,0.44947075900360356
124,6.0,[865.0535971171624 1563.0951166572 1645.1810969722096 2150.596676747789],[1135.6563720703125 1946.750732421875 1345.30224609375 2036.55810546875],0.5042365789413452,GX15OGJ,0.40072234803555895
125,6.0,[862.8777725817213 1570.105319280506 1645.6337501187286 2153.7668443498715],[1138.798828125 1959.6060791015625 1350.710205078125 2052.628662109375],0.625652551651001,GX15OGJ,0.6616115377725004
126,6.0,[857.1335879641242 1581.003806752251 1644.8516104739774 2156.9827349627485],[1125.6273193359375 1972.3602294921875 1339.426025390625 2070.005859375],0.6520652174949646,GX15OGJ,0.3960350859886347
126,1.0,[2048.2081642212697 1186.312520141217 2594.8316025523436 1652.2105312937736],[2222.48974609375 1467.273193359375 2447.348876953125 1559.208984375],0.32619762420654297,AP05JEO,0.3249040982290052
127,6.0,[851.6799367222983 1588.0274911886163 1642.703169552859 2157.120607072853],[1122.700927734375 1979.662841796875 1340.1895751953125 2071.9453125],0.6181768774986267,GX15OGJ,0.5243116753573501
127,1.0,[2048.974334819705 1188.323230669421 2596.641345847546 1655.1486640434762],[2223.6796875 1470.5833740234375 2446.93359375 1557.8514404296875],0.5025556087493896,AP05JEO,0.3214771592932546
128,6.0,[846.3029090300329 1595.8054598705226 1641.5529789784027 2157.2294050685637],[1107.686279296875 1982.2108154296875 1334.524658203125 2079.627197265625],0.6023557782173157,GX15OGJ,0.5642143287732719
129,6.0,[839.8143942469594 1601.529455016443 1639.1263028111746 2155.4470815373606],[1113.3709716796875 1996.6673583984375 1339.9566650390625 2089.74267578125],0.6070359349250793,GX15OGJ,0.39858654131281424
130,6.0,[834.3938627773692 1609.2395316217562 1638.7897033546565 2155.5729516032466],[1118.23876953125 2012.2119140625 1321.7923583984375 2098.73291015625],0.6543008685112,GX15OGJ,0.5409705949124913
131,6.0,[830.1701405619965 1614.6046257695684 1635.5483184249715 2154.9842649952575],[1103.7357177734375 2019.9873046875 1333.895263671875 2114.493896484375],0.6640065312385559,GX15OGJ,0.4281584879175165
132,6.0,[831.9824098542924 1624.0752670825905 1635.8659614798514 2156.9141786514947],[1095.48095703125 2025.760986328125 1335.3663330078125 2126.35693359375],0.6790463924407959,GX15OGJ,0.4446465362238008
132,1.0,[2045.4926383464997 1206.1426211973674 2600.696990895193 1680.9326840154588],[2226.8671875 1491.968994140625 2449.008544921875 1582.5157470703125],0.447386234998703,AP05JEO,0.195137326478566
133,6.0,[831.9693112763126 1630.140095872901 1632.877899653448 2157.6088042953866],[1085.7545166015625 2029.7332763671875 1324.814453125 2122.235107421875],0.6598048210144043,GX15OGJ,0.6338092887900518
134,6.0,[824.5531176718805 1637.1917908022472 1626.3329077610447 2159.2224134824983],[1093.942138671875 2050.513427734375 1322.9344482421875 2148.8564453125],0.6562004685401917,GX15OGJ,0.3269893986428454
135,6.0,[815.0230458705014 1647.1567401381403 1619.9036394420277 2162.91512402851],[1082.2142333984375 2056.57421875 1328.3646240234375 2157.3115234375],0.6707850694656372,GX15OCJ,0.4655256961112259
135,1.0,[2042.6461362173438 1215.1615387324068 2606.454571748782 1691.0167858060777],[2265.206787109375 1509.6947021484375 2466.044921875 1598.18408203125],0.4448328912258148,AP05JEO,0.31206188682250113
139,1.0,[2048.6659615131616 1231.3829934914015 2620.3612514186484 1710.211001611674],[2240.569091796875 1526.055908203125 2446.428955078125 1604.7235107421875],0.5471788644790649,AP05JEQ,0.09182484648496583
141,1.0,[2050.5131831218773 1237.7481555033482 2626.092509561205 1724.1578702972897],[2257.075927734375 1535.60595703125 2458.991455078125 1621.219482421875],0.26465022563934326,AP05JEQ,0.2537842005518404
142,1.0,[2050.6928244324645 1239.8875837441287 2628.533598139259 1729.6233967005387],[2261.924072265625 1539.9771728515625 2468.401123046875 1624.303466796875],0.3388288915157318,AP05JEQ,0.4234054399025668
143,1.0,[2045.5496268102029 1242.9244012919364 2627.973964807748 1736.2954649058859],[2240.93994140625 1537.928466796875 2454.860595703125 1624.91455078125],0.5332430005073547,AP05JEO,0.29136651108517797
144,1.0,[2046.7960988326995 1247.7915017051096 2633.0190163807456 1744.5546271557864],[2245.658203125 1549.521728515625 2440.534423828125 1633.9095458984375],0.47730541229248047,AP05JEO,0.3477868346215986
145,1.0,[2047.9525258111075 1251.997240792409 2636.1938910200647 1750.242676911643],[2268.87890625 1555.7889404296875 2470.9453125 1644.1702880859375],0.407218337059021,AP05JEO,0.2634520405280588
146,1.0,[2048.305729354549 1256.808313526655 2638.431394573131 1757.3871496973304],[2239.4140625 1560.8360595703125 2426.04541015625 1643.9014892578125],0.33266139030456543,AP05JEQ,0.3050127720848448
151,1.0,[2055.958590322033 1275.843699060012 2660.4094422661947 1789.7299632620256],[2248.826171875 1582.4033203125 2479.082763671875 1666.0078125],0.3686569631099701,AP05JEQ,0.14344282768320354
152,1.0,[2050.532789262967 1280.3008683645478 2658.1043722830086 1794.1546044055679],[2250.865478515625 1588.0821533203125 2462.944091796875 1671.7701416015625],0.5338016152381897,AP05JEO,0.14527624666238467
153,1.0,[2045.3424460421222 1284.787069792544 2657.109946186799 1800.5751914112177],[2253.010498046875 1590.674560546875 2475.644775390625 1688.899658203125],0.3990708291530609,AP05JEO,0.2100381747242469
155,1.0,[2047.3560357757492 1290.668657967047 2670.844852849145 1809.327444438801],[2265.9501953125 1608.6295166015625 2479.242919921875 1695.9898681640625],0.4387916326522827,AP05JEO,0.24589210396143887
156,1.0,[2053.3625183506524 1300.8115485177111 2673.31456876932 1820.0674336811378],[2276.91796875 1613.786865234375 2496.658203125 1701.472412109375],0.43385669589042664,AP05JEO,0.2821785457814546
157,1.0,[2046.9271629495668 1302.5506916198417 2668.5602268575226 1823.0892057047024],[2266.89208984375 1618.477294921875 2495.379150390625 1699.880126953125],0.4962666630744934,AP05JEO,0.5970343046932517
162,1.0,[2051.9310641504703 1325.0984449959865 2674.598407613738 1853.3048625347033],[2275.729736328125 1651.5091552734375 2456.111572265625 1732.8585205078125],0.27412742376327515,NP05JEC,0.18557037354538292
163,1.0,[2055.1668715479104 1329.0024514380905 2678.6690939452833 1859.0216750707698],[2269.33837890625 1650.484130859375 2487.99853515625 1741.46044921875],0.36252808570861816,AP05JEQ,0.1966788348659111
177,1.0,[2085.077833343011 1406.681238117843 2714.997947512033 1954.0365684330227],[2292.132080078125 1742.42919921875 2517.307861328125 1839.4168701171875],0.520209789276123,AP05JEO,0.19929923751653242
185,1.0,[2091.9558732480964 1445.804407851209 2758.915112584109 2009.7820057906265],[2322.468017578125 1799.9937744140625 2551.98046875 1892.8516845703125],0.6086167097091675,AP05JEO,0.45424870573498805
